p,qE,qL,q_cutoff,n,scoring_method,eMaxHammingScore,fold
0.75,0.7,0.9,3.5,1,Hamming,28.74,1
0.75,0.75,0.9,3.5,1,Hamming,28.37,1
0.75,0.8,0.9,3.5,1,Hamming,31.48,1
0.75,0.8500000000000001,0.9,3.5,1,Hamming,34.63,1
0.75,0.9,0.9,3.5,1,Hamming,37.01,1
0.75,0.95,0.9,3.5,1,Hamming,36.98,1
0.75,1,0.9,3.5,1,Hamming,38.06,1
0.75,0.5,0.95,3.5,1,Hamming,24.48,1
0.75,0.55,0.95,3.5,1,Hamming,18.17,1
0.75,0.6,0.95,3.5,1,Hamming,26.73,1
0.75,0.65,0.95,3.5,1,Hamming,29.47,1
0.75,0.7,0.95,3.5,1,Hamming,26.15,1
0.75,0.75,0.95,3.5,1,Hamming,29.09,1
0.75,0.8,0.95,3.5,1,Hamming,28.47,1
0.75,0.8500000000000001,0.95,3.5,1,Hamming,33.49,1
0.75,0.9,0.95,3.5,1,Hamming,35.97,1
0.75,0.95,0.95,3.5,1,Hamming,35.59,1
0.75,1,0.95,3.5,1,Hamming,38.46,1
0.75,0.5,1,3.5,1,Hamming,22.61,1
0.75,0.55,1,3.5,1,Hamming,29.94,1
0.75,0.6,1,3.5,1,Hamming,23.8,1
0.75,0.65,1,3.5,1,Hamming,24.55,1
0.75,0.7,1,3.5,1,Hamming,28.22,1
0.75,0.75,1,3.5,1,Hamming,28.05,1
0.75,0.8,1,3.5,1,Hamming,33.29,1
0.75,0.8500000000000001,1,3.5,1,Hamming,32.93,1
0.75,0.9,1,3.5,1,Hamming,35.46,1
0.75,0.95,1,3.5,1,Hamming,35.57,1
0.75,1,1,3.5,1,Hamming,38.39,1
0.75,0.5,0.5,4.5,1,Hamming,20.11,1
0.75,0.55,0.5,4.5,1,Hamming,24.2,1
0.75,0.6,0.5,4.5,1,Hamming,21.77,1
0.75,0.65,0.5,4.5,1,Hamming,25.56,1
0.75,0.7,0.5,4.5,1,Hamming,25.49,1
0.75,0.75,0.5,4.5,1,Hamming,30.02,1
0.75,0.8,0.5,4.5,1,Hamming,28.57,1
0.75,0.8500000000000001,0.5,4.5,1,Hamming,36.23,1
0.75,0.9,0.5,4.5,1,Hamming,33.08,1
0.75,0.95,0.5,4.5,1,Hamming,34.46,1
0.75,1,0.5,4.5,1,Hamming,38.04,1
0.75,0.5,0.55,4.5,1,Hamming,23.6,1
0.75,0.55,0.55,4.5,1,Hamming,23.32,1
0.75,0.6,0.55,4.5,1,Hamming,22.19,1
0.75,0.65,0.55,4.5,1,Hamming,25.87,1
0.75,0.7,0.55,4.5,1,Hamming,30.26,1
0.75,0.75,0.55,4.5,1,Hamming,32.06,1
0.75,0.8,0.55,4.5,1,Hamming,30.47,1
0.75,0.8500000000000001,0.55,4.5,1,Hamming,33.19,1
0.75,0.9,0.55,4.5,1,Hamming,35.92,1
0.75,0.95,0.55,4.5,1,Hamming,35.72,1
0.75,1,0.55,4.5,1,Hamming,38.56,1
0.75,0.5,0.6,4.5,1,Hamming,20.75,1
0.75,0.55,0.6,4.5,1,Hamming,24.62,1
0.75,0.6,0.6,4.5,1,Hamming,22.6,1
0.75,0.65,0.6,4.5,1,Hamming,24.75,1
0.75,0.7,0.6,4.5,1,Hamming,28.66,1
0.75,0.75,0.6,4.5,1,Hamming,27.51,1
0.75,0.8,0.6,4.5,1,Hamming,31.03,1
0.75,0.8500000000000001,0.6,4.5,1,Hamming,31.62,1
0.75,0.9,0.6,4.5,1,Hamming,31.96,1
0.75,0.95,0.6,4.5,1,Hamming,34.98,1
0.75,1,0.6,4.5,1,Hamming,39.17,1
0.75,0.5,0.65,4.5,1,Hamming,24.33,1
0.75,0.55,0.65,4.5,1,Hamming,18.88,1
0.75,0.6,0.65,4.5,1,Hamming,25.38,1
0.75,0.65,0.65,4.5,1,Hamming,29.55,1
0.75,0.7,0.65,4.5,1,Hamming,27.73,1
0.75,0.75,0.65,4.5,1,Hamming,29.16,1
0.75,0.8,0.65,4.5,1,Hamming,28,1
0.75,0.8500000000000001,0.65,4.5,1,Hamming,34.86,1
0.75,0.9,0.65,4.5,1,Hamming,34.83,1
0.75,0.95,0.65,4.5,1,Hamming,36.56,1
0.75,1,0.65,4.5,1,Hamming,37.35,1
0.75,0.5,0.7,4.5,1,Hamming,23.19,1
0.75,0.55,0.7,4.5,1,Hamming,21.08,1
0.75,0.6,0.7,4.5,1,Hamming,25.58,1
0.75,0.65,0.7,4.5,1,Hamming,25.88,1
0.75,0.7,0.7,4.5,1,Hamming,26.33,1
0.75,0.75,0.7,4.5,1,Hamming,31.81,1
0.75,0.8,0.7,4.5,1,Hamming,32.23,1
0.75,0.8500000000000001,0.7,4.5,1,Hamming,33.22,1
0.75,0.9,0.7,4.5,1,Hamming,36.43,1
0.75,0.95,0.7,4.5,1,Hamming,37.27,1
0.75,1,0.7,4.5,1,Hamming,37.89,1
0.75,0.5,0.75,4.5,1,Hamming,21.44,1
0.75,0.55,0.75,4.5,1,Hamming,24.63,1
0.75,0.6,0.75,4.5,1,Hamming,24.73,1
0.75,0.65,0.75,4.5,1,Hamming,27.69,1
0.75,0.7,0.75,4.5,1,Hamming,29.61,1
0.75,0.75,0.75,4.5,1,Hamming,27.35,1
0.75,0.8,0.75,4.5,1,Hamming,28.95,1
0.75,0.8500000000000001,0.75,4.5,1,Hamming,33.49,1
0.75,0.9,0.75,4.5,1,Hamming,32.61,1
0.75,0.95,0.75,4.5,1,Hamming,36.76,1
0.75,1,0.75,4.5,1,Hamming,37.42,1
0.75,0.5,0.8,4.5,1,Hamming,20.08,1
0.75,0.55,0.8,4.5,1,Hamming,24.28,1
0.75,0.6,0.8,4.5,1,Hamming,21.5,1
0.75,0.65,0.8,4.5,1,Hamming,24.47,1
0.75,0.7,0.8,4.5,1,Hamming,25.38,1
0.75,0.75,0.8,4.5,1,Hamming,28.96,1
0.75,0.8,0.8,4.5,1,Hamming,35.48,1
0.75,0.8500000000000001,0.8,4.5,1,Hamming,33.54,1
0.75,0.9,0.8,4.5,1,Hamming,36.38,1
0.75,0.95,0.8,4.5,1,Hamming,36.44,1
0.75,1,0.8,4.5,1,Hamming,38.03,1
0.75,0.5,0.8500000000000001,4.5,1,Hamming,24.9,1
0.75,0.55,0.8500000000000001,4.5,1,Hamming,21.63,1
0.75,0.6,0.8500000000000001,4.5,1,Hamming,21.88,1
0.75,0.65,0.8500000000000001,4.5,1,Hamming,19.53,1
0.75,0.7,0.8500000000000001,4.5,1,Hamming,27.47,1
0.75,0.75,0.8500000000000001,4.5,1,Hamming,27.9,1
0.75,0.8,0.8500000000000001,4.5,1,Hamming,27.36,1
0.75,0.8500000000000001,0.8500000000000001,4.5,1,Hamming,32.82,1
0.75,0.9,0.8500000000000001,4.5,1,Hamming,33.44,1
0.75,0.95,0.8500000000000001,4.5,1,Hamming,36.59,1
0.75,1,0.8500000000000001,4.5,1,Hamming,37.41,1
0.75,0.5,0.9,4.5,1,Hamming,20.76,1
0.75,0.55,0.9,4.5,1,Hamming,21.82,1
0.75,0.6,0.9,4.5,1,Hamming,25.64,1
0.75,0.65,0.9,4.5,1,Hamming,29.19,1
0.75,0.7,0.9,4.5,1,Hamming,26.45,1
0.75,0.75,0.9,4.5,1,Hamming,26.46,1
0.75,0.8,0.9,4.5,1,Hamming,30.36,1
0.75,0.8500000000000001,0.9,4.5,1,Hamming,34.28,1
0.75,0.9,0.9,4.5,1,Hamming,34.52,1
0.75,0.95,0.9,4.5,1,Hamming,35.21,1
0.75,1,0.9,4.5,1,Hamming,38.97,1
0.75,0.5,0.95,4.5,1,Hamming,20.46,1
0.75,0.55,0.95,4.5,1,Hamming,23.93,1
0.75,0.6,0.95,4.5,1,Hamming,21.82,1
0.75,0.65,0.95,4.5,1,Hamming,24.27,1
0.75,0.7,0.95,4.5,1,Hamming,25.72,1
