p,qE,qL,q_cutoff,eMaxScore,n,score_method
0.75,0.5,0.75,1.5,137.62978658531836,5,ESPN
0.75,0.5,0.75,1.5,143.65688979438326,10,ESPN
0.75,0.5,0.75,1.5,156.48163224512945,100,ESPN
0.75,0.5,0.75,1.5,163.93203337158744,1000,ESPN
0.75,0.5,0.75,1.5,169.08181274504565,10000,ESPN
0.75,0.55,0.75,1.5,116.80000000000015,1,ESPN
0.75,0.55,0.75,1.5,138.42684936692564,5,ESPN
0.75,0.55,0.75,1.5,144.45244147020176,10,ESPN
0.75,0.55,0.75,1.5,157.2704421241663,100,ESPN
0.75,0.55,0.75,1.5,164.7114468631472,1000,ESPN
0.75,0.55,0.75,1.5,169.84924434139162,10000,ESPN
0.75,0.6,0.75,1.5,117.60000000000016,1,ESPN
0.75,0.6,0.75,1.5,139.21838652612797,5,ESPN
0.75,0.6,0.75,1.5,145.24000707804032,10,ESPN
0.75,0.6,0.75,1.5,158.04208029635282,100,ESPN
0.75,0.6,0.75,1.5,165.46377702936286,1000,ESPN
0.75,0.6,0.75,1.5,170.5795641027628,10000,ESPN
0.75,0.65,0.75,1.5,118.40000000000016,1,ESPN
0.75,0.65,0.75,1.5,140.0043979250179,5,ESPN
0.75,0.65,0.75,1.5,146.01959317777803,10,ESPN
0.75,0.65,0.75,1.5,158.796597220547,100,ESPN
0.75,0.65,0.75,1.5,166.18913596901902,1000,ESPN
0.75,0.65,0.75,1.5,171.27292930800976,10000,ESPN
0.75,0.7,0.75,1.5,119.20000000000014,1,ESPN
0.75,0.7,0.75,1.5,140.78487665147046,5,ESPN
0.75,0.7,0.75,1.5,146.79119361195893,10,ESPN
0.75,0.7,0.75,1.5,159.53398546078915,100,ESPN
0.75,0.7,0.75,1.5,166.88748098921056,1000,ESPN
0.75,0.7,0.75,1.5,171.92918093174242,10000,ESPN
0.75,0.75,0.75,1.5,120.00000000000011,1,ESPN
0.75,0.75,0.75,1.5,141.55980892644394,5,ESPN
0.75,0.75,0.75,1.5,147.55478936561474,10,ESPN
0.75,0.75,0.75,1.5,160.25417896071406,100,ESPN
0.75,0.75,0.75,1.5,167.55860996774587,1000,ESPN
0.75,0.75,0.75,1.5,172.5478238854914,10000,ESPN
0.75,0.8,0.75,1.5,120.80000000000014,1,ESPN
0.75,0.8,0.75,1.5,142.32917394088588,5,ESPN
0.75,0.8,0.75,1.5,148.31034826385684,10,ESPN
0.75,0.8,0.75,1.5,160.95705088396525,100,ESPN
0.75,0.8,0.75,1.5,168.20214986160693,1000,ESPN
0.75,0.8,0.75,1.5,173.12798421235206,10000,ESPN
0.75,0.8500000000000001,0.75,1.5,121.60000000000014,1,ESPN
0.75,0.8500000000000001,0.75,1.5,143.09294361614909,5,ESPN
0.75,0.8500000000000001,0.75,1.5,149.05782449351125,10,ESPN
0.75,0.8500000000000001,0.75,1.5,161.64240985401705,100,ESPN
0.75,0.8500000000000001,0.75,1.5,168.817536848737,1000,ESPN
0.75,0.8500000000000001,0.75,1.5,173.66833457015048,10000,ESPN
0.75,0.9,0.75,1.5,122.40000000000012,1,ESPN
0.75,0.9,0.75,1.5,143.8510822715837,5,ESPN
0.75,0.9,0.75,1.5,149.7971579143577,10,ESPN
0.75,0.9,0.75,1.5,162.30999424516364,100,ESPN
0.75,0.9,0.75,1.5,169.40398516348287,1000,ESPN
0.75,0.9,0.75,1.5,174.16697049227844,10000,ESPN
0.75,0.95,0.75,1.5,123.20000000000012,1,ESPN
0.75,0.95,0.75,1.5,144.60353440055962,5,ESPN
0.75,0.95,0.75,1.5,150.5282542547185,10,ESPN
0.75,0.95,0.75,1.5,162.9594062085963,100,ESPN
0.75,0.95,0.75,1.5,169.96031147490922,1000,ESPN
0.75,0.95,0.75,1.5,174.62097026597974,10000,ESPN
0.75,1,0.75,1.5,124.00000000000011,1,ESPN
0.75,1,0.75,1.5,145.34144891340867,5,ESPN
0.75,1,0.75,1.5,151.23820799060806,10,ESPN
