wp,n,k,p,q,r
6.522831590386147e-10,10000,1000000,0.75,0.15000000000000002,0.5
6.326347159400266e-9,100000,1000000,0.75,0.15000000000000002,0.5
5.8139328476147866e-8,1000000,1000000,0.75,0.15000000000000002,0.5
4.872330472799573e-7,10000000,1000000,0.75,0.15000000000000002,0.5
3.6013894254270554e-6,100000000,1000000,0.75,0.15000000000000002,0.5
2.2352861592447027e-15,1,10000000,0.75,0.15000000000000002,0.5
2.2352760761477854e-14,10,10000000,0.75,0.15000000000000002,0.5
2.2351780552788015e-13,100,10000000,0.75,0.15000000000000002,0.5
2.2343294297062953e-12,1000,10000000,0.75,0.15000000000000002,0.5
2.2287016310227472e-11,10000,10000000,0.75,0.15000000000000002,0.5
2.2026648050290517e-10,100000,10000000,0.75,0.15000000000000002,0.5
2.1193287266120443e-9,1000000,10000000,0.75,0.15000000000000002,0.5
1.929185979269783e-8,10000000,10000000,0.75,0.15000000000000002,0.5
1.6083490761935552e-7,100000000,10000000,0.75,0.15000000000000002,0.5
9.073244249292171e-17,1,100000000,0.75,0.15000000000000002,0.5
9.073233847899016e-16,10,100000000,0.75,0.15000000000000002,0.5
9.073131425341245e-15,100,100000000,0.75,0.15000000000000002,0.5
9.072196574359103e-14,1000,100000000,0.75,0.15000000000000002,0.5
9.065242681731628e-13,10000,100000000,0.75,0.15000000000000002,0.5
9.027424656301187e-12,100000,100000000,0.75,0.15000000000000002,0.5
8.88167881268758e-11,1000000,100000000,0.75,0.15000000000000002,0.5
8.477052904887668e-10,10000000,100000000,0.75,0.15000000000000002,0.5
7.642675439365506e-9,100000000,100000000,0.75,0.15000000000000002,0.5
0.05191794777022559,1,1,0.75,0.2,0.5
0.20538948290545533,10,1,0.75,0.2,0.5
0.43382334580487986,100,1,0.75,0.2,0.5
0.6463936690812876,1000,1,0.75,0.2,0.5
0.801140813759864,10000,1,0.75,0.2,0.5
0.8974766201262087,100000,1,0.75,0.2,0.5
0.9509222256538175,1000000,1,0.75,0.2,0.5
0.977978171389767,10000000,1,0.75,0.2,0.5
0.9906696820570196,100000000,1,0.75,0.2,0.5
3.382082299465464e-4,1,10,0.75,0.2,0.5
0.0030958959359345143,10,10,0.75,0.2,0.5
0.02120388668368004,100,10,0.75,0.2,0.5
0.09032258659718859,1000,10,0.75,0.2,0.5
0.24317553012979787,10000,10,0.75,0.2,0.5
0.45787013254674536,100000,10,0.75,0.2,0.5
0.6683636880756193,1000000,10,0.75,0.2,0.5
0.8242929167656357,10000000,10,0.75,0.2,0.5
0.917433017595517,100000000,10,0.75,0.2,0.5
3.1097206233268264e-6,1,100,0.75,0.2,0.5
3.089745047013374e-5,10,100,0.75,0.2,0.5
2.9470626573457654e-4,100,100,0.75,0.2,0.5
0.00240642826924394,1000,100,0.75,0.2,0.5
0.014515399654188427,10000,100,0.75,0.2,0.5
0.06020965997660995,100000,100,0.75,0.2,0.5
0.1730452241385788,1000000,100,0.75,0.2,0.5
0.36075294049487766,10000000,100,0.75,0.2,0.5
0.5796582917606823,100000000,100,0.75,0.2,0.5
5.368415002976749e-8,1,1000,0.75,0.2,0.5
5.364846698853484e-7,10,1000,0.75,0.2,0.5
5.333066570552496e-6,100,1000,0.75,0.2,0.5
5.132286796603004e-5,1000,1000,0.75,0.2,0.5
4.41793631685943e-4,10000,1000,0.75,0.2,0.5
0.0030522877395079712,100000,1000,0.75,0.2,0.5
0.015701571904230414,1000000,1000,0.75,0.2,0.5
0.05872300497410989,10000000,1000,0.75,0.2,0.5
0.1613299324854072,100000000,1000,0.75,0.2,0.5
1.333970509033804e-9,1,10000,0.75,0.2,0.5
1.3338554078221095e-8,10,10000,0.75,0.2,0.5
