n,k,p,q,r,wp
10,10000000,0.75,0.25,0.5,-2.2074697625384943e-9
10,100000000,0.75,0.25,0.5,-2.2203738847537124e-8
100,1,0.75,0.25,0.5,0.6197205494798665
100,10,0.75,0.25,0.5,0.07328406672007537
100,100,0.75,0.25,0.5,0.00184016714109203
100,1000,0.75,0.25,0.5,4.7140017021551905e-5
100,10000,0.75,0.25,0.5,1.5422110787310928e-6
100,100000,0.75,0.25,0.5,6.042472844303148e-8
100,1000000,0.75,0.25,0.5,2.4615155469476235e-9
100,10000000,0.75,0.25,0.5,-2.0906816278198903e-9
100,100000000,0.75,0.25,0.5,-2.2197240268084784e-8
1000,1,0.75,0.25,0.5,0.8171383212742345
1000,10,0.75,0.25,0.5,0.2579189445079284
1000,100,0.75,0.25,0.5,0.01463843061131242
1000,1000,0.75,0.25,0.5,4.5658796640057897e-4
1000,10000,0.75,0.25,0.5,1.5363310106319972e-5
1000,100000,0.75,0.25,0.5,6.041767487419136e-7
1000,1000000,0.75,0.25,0.5,2.6612099413014793e-8
1000,10000000,0.75,0.25,0.5,-9.228098285518627e-10
1000,100000000,0.75,0.25,0.5,-2.2132255805829004e-8
10000,1,0.75,0.25,0.5,0.9221155676551922
10000,10,0.75,0.25,0.5,0.5316222902345578
10000,100,0.75,0.25,0.5,0.07802821564153029
10000,1000,0.75,0.25,0.5,0.00391294800597563
10000,10000,0.75,0.25,0.5,1.4951300355292574e-4
10000,100000,0.75,0.25,0.5,6.01838860336823e-6
10000,1000000,0.75,0.25,0.5,2.679802412197674e-7
10000,10000000,0.75,0.25,0.5,1.0754967583181953e-8
10000,100000000,0.75,0.25,0.5,-2.1482417622564753e-8
100000,1,0.75,0.25,0.5,0.9697996710699814
100000,10,0.75,0.25,0.5,0.7666904487268935
100000,100,0.75,0.25,0.5,0.252145124213196
100000,1000,0.75,0.25,0.5,0.02517844800819679
100000,10000,0.75,0.25,0.5,0.00132219855242676
100000,100000,0.75,0.25,0.5,5.867246839297291e-5
100000,1000000,0.75,0.25,0.5,2.6704718961712004e-6
100000,10000000,0.75,0.25,0.5,1.2744693866917345e-7
100000,100000000,0.75,0.25,0.5,-1.49847054764507e-8
1000000,1,0.75,0.25,0.5,0.989153781402589
1000000,10,0.75,0.25,0.5,0.9037565492063824
1000000,100,0.75,0.25,0.5,0.5177526090321627
1000000,1000,0.75,0.25,0.5,0.10754946547167898
1000000,10000,0.75,0.25,0.5,0.00934540553586749
1000000,100000,0.75,0.25,0.5,5.271386608670658e-4
1000000,1000000,0.75,0.25,0.5,2.6045978876898523e-5
1000000,10000000,0.75,0.25,0.5,1.2880167267192988e-6
1000000,100000000,0.75,0.25,0.5,4.9934037238408286e-8
